No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1063,FII,"Federated Investors, Inc.",Financial,Asset Management,USA,3341.11,15.55,33.1,1.88%,229268
1064,GTES,Gates Industrial Corporation plc,Industrial Goods,Diversified Machinery,USA,3334.18,4.07,11.5,1.05%,239767
1065,CBU,"Community Bank System, Inc.",Financial,Regional - Midwest Banks,USA,3333,20.01,65.43,1.14%,83073
1066,NAV,Navistar International Corporation,Consumer Goods,Trucks & Other Vehicles,USA,3329.76,10.62,34.19,-0.78%,160190
1067,PBF,PBF Energy Inc.,Basic Materials,Oil & Gas Refining & Marketing,USA,3327.08,10.56,29.06,-0.17%,1278016
1068,TDS,"Telephone and Data Systems, Inc.",Technology,Wireless Communications,USA,3319.47,25.88,31.16,0.10%,752743
1069,SMTC,Semtech Corporation,Technology,Semiconductor - Integrated Circuits,USA,3318.74,55.3,49.6,1.29%,277599
1070,PCI,PIMCO Dynamic Credit and Mortgage Income Fund,Financial,Closed-End Fund - Debt,USA,3318,,24.18,-0.04%,483495
1071,BOH,Bank of Hawaii Corporation,Financial,Regional - Pacific Banks,USA,3315.16,15.3,82.16,0.66%,105464
1072,COHR,"Coherent, Inc.",Technology,Scientific & Technical Instruments,USA,3295.59,18.56,136.86,0.06%,191536
1073,MFA,"MFA Financial, Inc.",Financial,REIT - Diversified,USA,3280.19,10.71,7.22,0.42%,766606
1074,DAR,Darling Ingredients Inc.,Industrial Goods,Waste Management,USA,3276.8,181.28,19.76,-0.50%,252792
1075,CWEN-A,"Clearway Energy, Inc.",Utilities,Electric Utilities,USA,3276.74,294.82,16.51,1.29%,110750
1076,ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,USA,3260.73,,27.06,-0.37%,172896
1077,HOMB,"Home Bancshares, Inc. (Conway, AR)",Financial,Money Center Banks,USA,3260.53,11.31,19.53,1.09%,370313
1078,CCMP,Cabot Microelectronics Corporation,Technology,Semiconductor - Integrated Circuits,USA,3252.9,27.63,110.38,-0.79%,54381
1079,BKU,"BankUnited, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,3251.93,11.66,33.29,0.60%,217550
1080,VIAV,Viavi Solutions Inc.,Technology,Communication Equipment,USA,3249.81,,14.2,1.07%,1461183
1081,ROG,Rogers Corporation,Technology,Diversified Electronics,USA,3246.92,36.27,174.97,1.90%,50648
1082,NVG,Nuveen AMT-Free Municipal Credit Income Fund,Financial,Asset Management,USA,3244.9,,16.02,0.38%,143812
1083,PGRE,"Paramount Group, Inc.",Financial,Property Management,USA,3241.95,289.18,14.17,0.21%,618867
1084,DKS,"DICK'S Sporting Goods, Inc.",Services,Sporting Goods Stores,USA,3241.02,10.89,35.6,2.48%,626501
1085,FCN,"FTI Consulting, Inc.",Services,Management Services,USA,3238.32,18.67,85.04,0.24%,86765
1086,LM,"Legg Mason, Inc.",Financial,Asset Management,USA,3236.32,,37.83,1.20%,248037
1087,FSK,FS KKR Capital Corp.,Financial,Asset Management,USA,3228.77,3.02,6.17,1.15%,1733043
1088,APU,"AmeriGas Partners, L.P.",Utilities,Gas Utilities,USA,3215.17,29.14,34.65,-1.84%,247892
1089,STAY,"Extended Stay America, Inc.",Services,Lodging,USA,3215.1,27.01,17.07,0.35%,314553
1090,ANAT,American National Insurance Company,Financial,Property & Casualty Insurance,USA,3209.85,8.25,122.28,2.70%,49683
1091,DOC,Physicians Realty Trust,Financial,REIT - Healthcare Facilities,USA,3208.98,59.52,17.5,1.39%,807311
1092,GBT,"Global Blood Therapeutics, Inc.",Healthcare,Biotechnology,USA,3208.87,,55.44,-0.25%,417693
1093,THO,"Thor Industries, Inc.",Consumer Goods,Recreational Vehicles,USA,3208.8,23.31,58.48,2.63%,591371
1094,MMSI,"Merit Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,3205.33,69.52,58.47,1.32%,192059
1095,NOVT,Novanta Inc.,Technology,Scientific & Technical Instruments,USA,3194.73,66.2,92.28,0.20%,44329
1096,CLF,Cleveland-Cliffs Inc.,Basic Materials,Industrial Metals & Minerals,USA,3190.57,3.27,11.02,0.73%,5522379
1097,BCPC,Balchem Corporation,Basic Materials,Specialty Chemicals,USA,3189.84,41.87,99.31,1.43%,72144
1098,SKYW,"SkyWest, Inc.",Services,Regional Airlines,USA,3188.25,10.38,61.98,1.24%,75379
1099,LILA,Liberty Latin America Ltd.,Services,CATV Systems,USA,3184.02,,17.44,1.81%,65708
1100,FOXF,Fox Factory Holding Corp.,Consumer Goods,Recreational Vehicles,USA,3182.89,40.36,83.67,0.98%,65498
1101,CMD,Cantel Medical Corp.,Healthcare,Medical Instruments & Supplies,USA,3174.66,51.31,79.07,1.66%,223458
1102,SNDR,"Schneider National, Inc.",Services,Trucking,USA,3170.44,12.4,18.15,1.17%,339531
1103,ATI,Allegheny Technologies Incorporated,Industrial Goods,Metal Fabrication,USA,3168.86,18.7,25.27,0.68%,319789
1104,DK,"Delek US Holdings, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,3166.18,6.47,40.7,2.57%,1186628
1105,BYD,Boyd Gaming Corporation,Services,Resorts & Casinos,USA,3161.89,26.92,27.89,1.20%,761409
1106,RAMP,"LiveRamp Holdings, Inc.",Technology,Information Technology Services,USA,3160.09,,46.83,-0.45%,308609
1107,SHO,"Sunstone Hotel Investors, Inc.",Financial,REIT - Hotel/Motel,USA,3155.24,14.49,13.82,1.10%,730203
1108,BHFAP,"Brighthouse Financial, Inc.",Financial,Life Insurance,USA,3154.79,16.33,26.6,0.57%,37690
1109,THS,"TreeHouse Foods, Inc.",Consumer Goods,Processed & Packaged Goods,USA,3154.36,,56.55,3.10%,274655
1110,MOG-A,Moog Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,3146.85,20.16,93.74,0.56%,38612
1111,RXN,Rexnord Corporation,Industrial Goods,Diversified Machinery,USA,3143.07,22.12,29.97,-0.46%,304845
1112,ORA,"Ormat Technologies, Inc.",Utilities,Electric Utilities,USA,3140.89,26.95,62.73,-1.97%,166386
1113,SXT,Sensient Technologies Corporation,Basic Materials,Specialty Chemicals,USA,3129.91,22.17,74.1,0.86%,59126
1114,WTS,"Watts Water Technologies, Inc.",Industrial Goods,Industrial Equipment & Components,USA,3124.83,25.4,92.56,0.64%,73869
1115,AMCX,AMC Networks Inc.,Services,Entertainment - Diversified,USA,3123.52,7.53,55.48,0.76%,206723
1116,UMBF,UMB Financial Corporation,Financial,Regional - Southwest  Banks,USA,3114.97,16.75,64.72,0.26%,82785
1117,SJI,"South Jersey Industries, Inc.",Utilities,Gas Utilities,USA,3112.28,,34.04,0.68%,188820
1118,RLJ,RLJ Lodging Trust,Financial,REIT - Hotel/Motel,USA,3110.09,23.7,17.87,0.34%,468452
1119,NEOG,Neogen Corporation,Healthcare,Diagnostic Substances,USA,3107.42,48.04,60.68,0.73%,66017
1120,GFNCP,General Finance Corporation,Services,Rental & Leasing Services,USA,3104.01,,102.5,-0.49%,564
1121,BSM,"Black Stone Minerals, L.P.",Basic Materials,Independent Oil & Gas,USA,3096.6,13.54,15.27,-0.59%,76413
1122,OFC,Corporate Office Properties Trust,Financial,REIT - Office,USA,3094.97,38.69,27.55,1.47%,407206
1123,FEYE,"FireEye, Inc.",Technology,Application Software,USA,3092.7,,15.25,3.74%,2739747
1124,FOLD,"Amicus Therapeutics, Inc.",Healthcare,Biotechnology,USA,3091.11,,12.64,3.18%,1495720
1125,TERP,"TerraForm Power, Inc.",Utilities,Diversified Utilities,USA,3089.03,,14.77,1.51%,617548
1126,CFX,Colfax Corporation,Industrial Goods,Diversified Machinery,USA,3088.02,38.15,27.2,0.59%,572144
1127,JJSF,J & J Snack Foods Corp.,Consumer Goods,Processed & Packaged Goods,USA,3076.59,37.94,163.91,0.92%,29876
1128,ARNA,"Arena Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3075.55,5.12,62.16,2.42%,324856
1129,EXPO,"Exponent, Inc.",Services,Management Services,USA,3074.1,43.03,59.38,2.20%,71209
1130,TRNO,Terreno Realty Corporation,Financial,REIT - Industrial,USA,3071.58,42.93,49.71,0.34%,152470
1131,COMM,"CommScope Holding Company, Inc.",Technology,Communication Equipment,USA,3067.45,32.4,15.91,-1.12%,4067633
1132,ISBC,"Investors Bancorp, Inc.",Financial,Savings & Loans,USA,3065.45,16.39,11.23,1.54%,654980
